training_accuracy,oob_error,testing_accuracy
0.5038095238095238,0.36919881759749085,0.4166666666666667
0.5066666666666667,0.40726288502975055,0.5833333333333334
0.5619047619047619,0.35890624528431597,0.375
0.5361904761904762,0.40145875608712517,0.5416666666666666
0.5547619047619048,0.3852717199970682,0.5416666666666666
0.4119047619047619,0.4036381444057031,0.4583333333333333
0.5138095238095238,0.38043392631355594,0.4583333333333333
0.5833333333333334,0.36227797714114823,0.4166666666666667
0.4495238095238095,0.43436232759536514,0.5833333333333334
0.48523809523809525,0.40082201950783064,0.5
