training_accuracy,oob_error,testing_accuracy
0.4988095238095238,0.38867489081214296,0.4666666666666667
0.531547619047619,0.41900086871671116,0.6666666666666666
0.4880952380952381,0.37610694978778947,0.4
0.42023809523809524,0.4453283109022407,0.6
0.4097222222222222,0.41842449922506025,0.6
0.4619047619047619,0.4196289552759235,0.6666666666666666
0.5541666666666667,0.3976940919937976,0.4666666666666667
0.5535714285714286,0.3729169074249655,0.4666666666666667
0.49682539682539684,0.39787566822338205,0.6666666666666666
0.631547619047619,0.3620180450735571,0.3333333333333333
