training_accuracy,oob_error,testing_accuracy
0.6059523809523809,0.3602577778819721,0.2857142857142857
0.5222222222222223,0.38530449680178314,0.5714285714285714
0.5875,0.3949772145086123,0.5714285714285714
0.5928571428571429,0.370653699350438,0.42857142857142855
0.5255952380952381,0.3978522284990933,0.5
0.4607142857142857,0.38028707332199474,0.5714285714285714
0.4869047619047619,0.3985292921759896,0.6428571428571429
0.55,0.40308755491190934,0.6428571428571429
0.5408730158730158,0.4050761826355063,0.5714285714285714
0.4666666666666667,0.41776093419943544,0.5714285714285714
