Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Psychromonas arctica DSM 14288","1123036.3","AXWP01000031","fig|1123036.3.peg.2502",,"VBIPsyArc272619_2502","PATRIC.1123036.3.AXWP01000031.CDS.4427.5446.rev","PATRIC","CDS",4427,5446,1020,"-","FIG00152177","PLF_67572_00000175","PGF_00420609",,339,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Moritella dasanensis ArB 0140","1201293.3","AKXQ01000010","fig|1201293.3.peg.1997",,"VBIMorDas242841_1997","PATRIC.1201293.3.AKXQ01000010.CDS.95038.96087.rev","PATRIC","CDS",95038,96087,1050,"-","FIG00152177","PLF_58050_00003222","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Luteimonas abyssi strain XH031","1247514.3","KQ759763","fig|1247514.3.peg.3438",,,"PATRIC.1247514.3.KQ759763.CDS.3822006.3823022.fwd","PATRIC","CDS",3822006,3823022,1017,"+","FIG00152177","PLF_83614_00000224","PGF_00420609",,338,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Arthrobacter sp. H5","1267973.3","AZSC01000204","fig|1267973.3.peg.2766",,"VBIArtSp268450_2766","PATRIC.1267973.3.AZSC01000204.CDS.11689.12741.rev","PATRIC","CDS",11689,12741,1053,"-","FIG00152177","PLF_1663_00001215","PGF_00420609",,350,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Arthrobacter sp. H20","1267981.3","AZRY01000112","fig|1267981.3.peg.1716",,"VBIArtSp268596_1716","PATRIC.1267981.3.AZRY01000112.CDS.2543.3565.fwd","PATRIC","CDS",2543,3565,1023,"+","FIG00152177","PLF_1663_00001215","PGF_00420609",,340,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas hadalis ATCC BAA-638","1278302.3","ATUO01000026","fig|1278302.3.peg.1029",,"VBIPsyHad278212_1029","PATRIC.1278302.3.ATUO01000026.CDS.19993.21042.fwd","PATRIC","CDS",19993,21042,1050,"+","FIG00152177","PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas ossibalaenae ATCC BAA-1528","1278307.3","ARML01000094","fig|1278307.3.peg.2753",,"VBIPsyOss269313_2753","PATRIC.1278307.3.ARML01000094.CDS.5215.6147.rev","PATRIC","CDS",5215,6147,933,"-","FIG00152177","PLF_67572_00000175","PGF_00420609",,310,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas aquimarina ATCC BAA-1526","1278312.3","AUAM01000001","fig|1278312.3.peg.244",,"VBIPsyAqu266451_0244","PATRIC.1278312.3.AUAM01000001.CDS.276397.277446.rev","PATRIC","CDS",276397,277446,1050,"-","FIG00152177","PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Arthrobacter sp. Br18","1312954.3","AZSA01000166","fig|1312954.3.peg.2277",,"VBIArtSp288926_2277","PATRIC.1312954.3.AZSA01000166.CDS.9211.10197.rev","PATRIC","CDS",9211,10197,987,"-","FIG00152177","PLF_1663_00001215","PGF_00420609",,328,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. SP041","1365007.3","CBRF010000135","fig|1365007.3.peg.1421",,"VBIPsySp313211_1421","PATRIC.1365007.3.CBRF010000135.CDS.7688.8707.fwd","PATRIC","CDS",7688,8707,1020,"+","FIG00152177","PLF_67572_00000175","PGF_00420609",,339,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
