Genome,Genome ID,PATRIC ID,RefSeq Locus Tag,Gene,Product,Length (NT),Length (AA),ALN Length,Identity,Query cover,Subject cover,Hit from,Hit to,Score,E value
Moritella sp. JT01,756698.3,fig|756698.3.peg.1935,AKG98_1928,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",8505,2834,2834,52,65,58,20,1664,1639,0
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.6711,CEN39_03095,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",7170,2389,2389,43,56,64,43,1560,1134,0
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.5720,CEN39_21375,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",3822,1274,1274,45,46,95,42,1253,1019,0
Candidatus Riflebacteria bacterium BY5,2268124.3,fig|2268124.3.peg.403,OZSIB_0386,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",8013,2670,2670,43,35,33,1,872,702,0
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.1633,DRH90_07350,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",6468,2155,2155,38,43,49,6,1061,681,0
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.2953,CEN39_11075,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",6153,2050,2050,42,35,42,684,1549,626,0
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.2955,CEN39_11085,,"hypothetical protein",5082,1693,1693,35,38,57,10,977,518,5e-151
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.1640,,,"Polyketide synthase",3228,1076,1076,31,34,82,11,888,382,7e-110
Candidatus Riflebacteria bacterium BY5,2268124.3,fig|2268124.3.peg.4319,OZSIB_4217,,"Modular polyketide synthase",8823,2940,2940,30,36,30,736,1630,334,2e-91
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.2555,Isop_2003,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",6564,2187,2187,32,29,36,982,1767,312,7e-85
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.2702,CEN39_10145,,"Polyketide synthase modules and related proteins",6072,2023,2023,28,36,44,10,890,308,1e-83
Janthinobacterium sp. CG3,1075768.5,fig|1075768.5.peg.264,,,"Polyketide synthase modules and related proteins",5514,1837,1837,28,35,46,15,856,296,6e-80
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.2078,CEN39_07775,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",1746,581,581,32,23,96,10,569,281,8e-80
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.2554,Isop_2002,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",1275,424,424,44,13,80,62,399,269,1e-77
Rhodonellum psychrophilum DSM 17998 strain GCM71,1123057.7,fig|1123057.7.peg.709,P872_14935,,"Polyketide synthase modules and related proteins",6735,2244,2244,27,35,37,599,1427,282,1e-75
Sedimentitalea sp. W43,2483033.3,fig|2483033.3.peg.5098,EBB79_23590,,"Polyketide synthase modules and related proteins",6477,2158,2158,27,34,37,18,823,278,2e-74
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.3686,,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaB / omega-3 polyunsaturated fatty acid synthase subunit, PfaC",4107,1369,1369,34,18,33,16,466,274,8e-74
Janthinobacterium sp. CG3,1075768.5,fig|1075768.5.peg.269,,,"Polyketide synthase modules and related proteins",7644,2547,2547,28,34,31,686,1484,263,1e-69
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.2079,CEN39_07780,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaB",2679,893,893,33,18,50,4,450,246,4e-66
